,fips,number_rivers_and_streams,length_of_rivers_and_streams
558,17005,10,142.25
559,17007,6,108.06
560,17009,4,91.56
561,17011,12,281.47
562,17013,4,107.67
563,17015,16,260.1
564,17017,8,97.41
565,17019,13,331.91
566,17021,10,213.36
567,17023,9,167.85
568,17025,14,266.24
569,17027,12,261.53
570,17029,12,225.37
571,17031,18,365.53
572,17033,12,133.76
573,17035,10,167.36
574,17037,13,284.44
575,17039,3,92.83
576,17041,8,180.76
577,17043,6,74.32
578,17045,14,227.67
579,17047,12,117.1
580,17049,13,186.23
581,17051,21,330.15
582,17053,13,142.22
583,17055,8,163.08
584,17057,14,329.5
585,17059,6,95.45
586,17061,6,152.37
587,17063,15,251.98
588,17065,15,174.04
589,17067,16,275.25
590,17069,5,42.84
591,17071,10,179.93
592,17073,12,274.11
593,17075,18,485.59
594,17077,15,321.39
595,17079,11,230.77
596,17081,15,260.28
597,17083,4,72.92
598,17085,14,288.7
599,17087,13,165.02
600,17089,10,171.1
601,17091,14,251.49
602,17093,12,177.63
603,17095,12,246.29
604,17097,7,123.36
605,17099,14,352.2
606,17101,11,165.18
607,17103,10,207.93
608,17105,13,326.1
609,17107,7,210.97
610,17109,10,252.46
611,17111,10,241.9
612,17113,9,302.52
613,17115,5,126.25
614,17117,18,308.65
615,17119,17,313.76
616,17121,11,234.26
617,17123,5,158.45
618,17125,9,151.06
619,17127,6,50.87
620,17129,6,84.31
621,17131,10,264.8
622,17133,8,138.32
623,17135,16,245.26
624,17137,11,153.13
625,17139,10,76.49
626,17141,14,260.99
627,17143,9,213.83
628,17145,11,234.3
629,17147,3,55.06
630,17149,14,304.14
631,17151,6,126.44
632,17153,7,87.28
633,17155,3,44.35
634,17157,11,264.37
635,17159,12,140.35
636,17161,8,187.66
637,17163,13,232.63
638,17165,9,127.99
639,17167,12,347.54
640,17169,8,167.1
641,17171,3,66.61
642,17173,20,301.73
643,17175,5,110.87
644,17177,9,230.3
645,17179,7,192.64
646,17181,11,187.67
647,17183,15,344.52
648,17185,7,61.0
649,17187,10,206.73
650,17189,20,232.84
651,17191,21,336.09
652,17193,17,215.68
653,17195,11,224.55
654,17197,23,494.69
655,17199,11,211.88
656,17201,14,225.16
657,17203,8,153.6
658,18001,5,87.41
659,18003,14,220.18
660,18005,13,196.3
661,18007,8,122.29
662,18009,4,56.56
663,18011,11,184.93
664,18013,6,126.44
665,18015,9,172.04
666,18017,9,139.01
667,18019,4,114.02
668,18021,6,129.09
669,18023,9,190.09
670,18025,10,187.49
671,18027,14,228.12
672,18029,12,156.26
673,18031,8,152.7
674,18033,10,135.77
675,18035,10,178.35
676,18037,19,235.25
677,18039,11,214.77
678,18041,6,64.56
679,18043,6,43.01
680,18045,8,130.03
681,18047,13,190.75
682,18049,5,117.62
683,18051,13,179.14
684,18053,5,119.54
685,18055,12,261.3
686,18057,12,197.16
687,18059,6,134.88
688,18061,8,229.01
689,18063,9,171.6
690,18065,11,160.72
691,18067,8,144.84
692,18069,10,115.96
693,18071,15,243.3
694,18073,7,115.03
695,18075,7,95.79
696,18077,8,136.41
697,18079,9,243.03
698,18081,14,151.22
699,18083,10,182.69
700,18085,8,160.84
701,18087,8,123.91
702,18089,10,186.5
703,18091,10,139.8
704,18093,11,238.08
705,18095,8,174.29
706,18097,12,207.4
707,18099,4,86.6
708,18101,8,189.61
709,18103,10,138.7
710,18105,11,153.2
711,18107,12,189.82
712,18109,14,198.56
713,18111,5,65.35
714,18113,8,93.05
715,18115,3,48.42
716,18117,10,214.45
717,18119,14,177.9
718,18121,8,194.46
719,18123,11,153.36
720,18125,9,123.64
721,18127,11,165.58
722,18129,11,127.65
723,18131,7,160.8
724,18133,11,203.03
725,18135,12,179.18
